"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordController.cls",7,48,7,56,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordController.cls",8,1,8,5,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordController.cls",10,81,10,85,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordController.cls",11,6,11,11,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordController.cls",12,1,12,5,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordControllerTest.cls",9,44,9,45,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordControllerTest.cls",10,50,10,66,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordControllerTest.cls",11,1,11,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordControllerTest.cls",12,63,12,90,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/ChangePasswordControllerTest.cls",13,6,13,10,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CheckOutProcessor.cls",2,1,2,5,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CheckOutProcessor.cls",6,1,6,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/CheckOutProcessor.cls",11,1,11,9,"Found trailing whitespace at the end of a line of code.",
